injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.314000,0.004906,15.135350,2.518210,13.135350,2,3140,3147
0.1,3.193100,0.049892,16.738154,2.498100,14.731045,2.007109,31931,31990
0.2,6.377700,0.099652,21.139972,2.510880,18.804365,2.335607,63777,63902
0.3,8.393000,0.131141,396.681032,2.633012,37.425998,359.255034,83930,84272
0.4,9.172000,0.143313,1081.114435,2.548949,42.968360,1038.146075,91720,92153
0.5,9.137400,0.142772,1845.290455,2.530402,43.631821,1801.658634,91374,91778
0.6,9.123100,0.142548,2381.692177,2.528928,43.742862,2337.949315,91231,91636
0.7,9.190200,0.143597,2766.630639,2.531562,43.226208,2723.404431,91902,92316
0.8,9.159500,0.143117,3044.557934,2.535704,43.771298,3000.786637,91595,92018
0.9,9.143900,0.142873,3272.662649,2.523186,43.860333,3228.802316,91439,91871
1.0,9.161400,0.143147,3421.143624,2.523115,43.447541,3377.696084,91614,92043
