injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.195873,2.522222,13.195873,2,3150,3151
0.1,3.189300,0.049833,16.623899,2.494166,14.617408,2.006490,31893,31948
0.2,6.367200,0.099488,20.389952,2.515684,18.123084,2.266868,63672,63803
0.3,8.432900,0.131764,350.618708,2.643505,35.825647,314.793061,84329,84637
0.4,9.274000,0.144906,1024.287718,2.548859,42.169355,982.118363,92740,93136
0.5,9.269700,0.144839,1812.829606,2.546115,42.820965,1770.008641,92697,93112
0.6,9.254900,0.144608,2339.872478,2.533731,42.593232,2297.279247,92549,92954
0.7,9.241400,0.144397,2732.948081,2.531239,42.566797,2690.381284,92414,92820
0.8,9.241900,0.144405,3005.858839,2.534552,42.440169,2963.418669,92419,92813
0.9,9.268400,0.144819,3219.521039,2.542573,42.453671,3177.067369,92684,93092
1.0,9.255100,0.144611,3412.448131,2.538812,42.661138,3369.786993,92551,92968
