injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.254286,2.522222,13.254286,2,3150,3151
0.1,3.188100,0.049814,19.133904,2.504364,17.118566,2.015338,31881,31948
0.2,6.363700,0.099433,27.506734,2.547747,23.599997,3.906737,63637,63799
0.3,8.356000,0.130562,417.570297,2.635372,38.320057,379.250239,83560,83907
0.4,9.067600,0.141681,1122.551855,2.537493,43.832877,1078.718977,90676,91069
0.5,9.041800,0.141278,1874.602137,2.528326,44.229080,1830.373056,90418,90836
0.6,9.048600,0.141384,2392.360896,2.527539,44.148830,2348.212066,90486,90895
0.7,9.091400,0.142053,2756.640022,2.534448,43.988594,2712.651429,90914,91316
0.8,9.052900,0.141452,3062.673044,2.526014,44.136995,3018.536049,90529,90944
0.9,9.087600,0.141994,3258.193516,2.530575,44.090453,3214.103064,90876,91292
1.0,9.092000,0.142063,3436.285636,2.528479,44.033953,3392.251683,90920,91343
