injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.153333,2.522222,13.153333,2,3150,3151
0.1,3.188800,0.049825,16.671318,2.496658,14.664200,2.007119,31888,31948
0.2,6.366500,0.099477,21.251206,2.527436,18.787921,2.463284,63665,63803
0.3,8.298800,0.129669,364.198993,2.639525,36.366788,327.832205,82988,83329
0.4,8.949100,0.139830,1110.992927,2.545898,43.431686,1067.561241,89491,89881
0.5,8.973600,0.140212,1859.413468,2.525477,43.389208,1816.024260,89736,90148
0.6,9.026800,0.141044,2391.670935,2.534133,43.267902,2348.403033,90268,90681
0.7,9.036900,0.141202,2778.157089,2.529293,42.993184,2735.163906,90369,90779
0.8,8.988400,0.140444,3048.653776,2.525809,43.258288,3005.395488,89884,90295
0.9,9.000800,0.140637,3255.945283,2.535902,43.066383,3212.878900,90008,90417
1.0,8.929500,0.139523,3458.593090,2.524021,43.479881,3415.113209,89295,89701
