injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.139683,2.522222,13.139683,2,3150,3151
0.1,3.189000,0.049828,16.282283,2.493474,14.275886,2.006397,31890,31948
0.2,6.367700,0.099495,19.601269,2.511348,17.379917,2.221352,63677,63803
0.3,8.577100,0.134017,322.778760,2.638591,33.768885,289.009875,85771,86083
0.4,9.307500,0.145430,1035.813656,2.553659,42.506044,993.307612,93075,93472
0.5,9.398800,0.146856,1772.635815,2.560018,41.877772,1730.758044,93988,94390
0.6,9.325400,0.145709,2316.934287,2.554592,42.494295,2274.439992,93254,93662
0.7,9.338200,0.145909,2703.891585,2.550415,42.191268,2661.700317,93382,93802
0.8,9.356700,0.146198,2997.852662,2.548090,42.312386,2955.540276,93567,93989
0.9,9.338900,0.145920,3222.289252,2.548632,42.506280,3179.782972,93389,93805
1.0,9.377700,0.146527,3396.253420,2.545749,42.422726,3353.830694,93777,94195
