injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.316300,0.004942,11.659184,2.521985,9.659184,2,3163,3165
0.1,3.193300,0.049895,12.025929,2.510437,10.025929,2,31933,31970
0.2,6.372700,0.099573,12.496006,2.495522,10.495897,2.000110,63727,63801
0.3,9.594500,0.149914,13.192214,2.511159,11.186086,2.006129,95945,96060
0.4,12.771200,0.199550,14.349748,2.514446,12.308695,2.041053,127712,127849
0.5,15.923800,0.248809,18.907579,2.509135,14.425231,4.482347,159238,159464
0.6,18.768900,0.293264,67.990735,2.593097,17.845926,50.144809,187689,188025
0.7,21.080400,0.329381,138.616326,2.612763,22.401278,116.215048,210804,211305
0.8,23.282900,0.363795,228.930550,2.566153,23.830451,205.100099,232829,233413
0.9,25.207300,0.393864,332.758967,2.534392,24.074828,308.684139,252073,252709
1.0,27.049500,0.422648,410.149873,2.531061,23.484959,386.664914,270495,271184
