group,vcs_per_vnet,escape_vcs,adaptive_vcs,escape_ratio,max_throughput,min_latency,latency_at_50pct_throughput,avg_hops_mean
Group 1: Fixed Escape VCs (escape=1),1,1,0,1.0,2.1242,17.693367,436.2400822209157,3.0417906363636362
Group 1: Fixed Escape VCs (escape=1),2,1,1,0.5,5.8095,15.242857,18.03945443770663,2.6045003636363635
Group 1: Fixed Escape VCs (escape=1),4,1,3,0.25,9.274,15.195873,18.33953351590673,2.541041636363637
Group 1: Fixed Escape VCs (escape=1),8,1,7,0.125,10.0182,15.195873,18.816421893713425,2.5406256363636364
Group 2: Fixed Total VCs (total=4),4,1,3,0.25,9.274,15.195873,18.33953351590673,2.541041636363637
Group 2: Fixed Total VCs (total=4),4,2,2,0.5,9.3512,15.194603,18.789427041184243,2.610920636363636
Group 2: Fixed Total VCs (total=4),4,3,1,0.75,7.1724,15.241905,30.057565941975625,2.7311698181818183
Group 2: Fixed Total VCs (total=4),4,4,0,1.0,3.5928,17.222182,50.41528582077933,3.072962090909091
Group 3: Fixed Total VCs (total=8),8,1,7,0.125,10.0182,15.195873,18.816421893713425,2.5406256363636364
Group 3: Fixed Total VCs (total=8),8,2,6,0.25,10.3069,15.195873,19.031630700792977,2.5714549090909085
Group 3: Fixed Total VCs (total=8),8,4,4,0.5,10.2894,15.195873,19.028484026621356,2.6201742727272728
Group 3: Fixed Total VCs (total=8),8,8,0,1.0,3.6058,17.222182,53.418750288237646,3.110565272727273
Group 4: All Escape VCs (adaptive=0),1,1,0,1.0,2.1242,17.693367,436.2400822209157,3.0417906363636362
Group 4: All Escape VCs (adaptive=0),2,2,0,1.0,3.2006,17.194273,161.48813132056202,3.0746148181818183
Group 4: All Escape VCs (adaptive=0),4,4,0,1.0,3.5928,17.222182,50.41528582077933,3.072962090909091
Group 4: All Escape VCs (adaptive=0),8,8,0,1.0,3.6058,17.222182,53.418750288237646,3.110565272727273
Group 5: Combined Analysis (Group 1 + Group 4),1,1,0,1.0,2.1242,17.693367,436.2400822209157,3.0417906363636362
Group 5: Combined Analysis (Group 1 + Group 4),2,1,1,0.5,5.8095,15.242857,18.03945443770663,2.6045003636363635
Group 5: Combined Analysis (Group 1 + Group 4),4,1,3,0.25,9.274,15.195873,18.33953351590673,2.541041636363637
Group 5: Combined Analysis (Group 1 + Group 4),8,1,7,0.125,10.0182,15.195873,18.816421893713425,2.5406256363636364
Group 5: Combined Analysis (Group 1 + Group 4),2,2,0,1.0,3.2006,17.194273,161.48813132056202,3.0746148181818183
Group 5: Combined Analysis (Group 1 + Group 4),4,4,0,1.0,3.5928,17.222182,50.41528582077933,3.072962090909091
Group 5: Combined Analysis (Group 1 + Group 4),8,8,0,1.0,3.6058,17.222182,53.418750288237646,3.110565272727273
