injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.242857,2.528571,13.240317,2.002540,3150,3151
0.1,3.188500,0.049820,18.345868,2.580627,15.843751,2.502117,31885,31944
0.2,5.502900,0.085983,537.407549,2.647952,28.905995,508.501554,55029,55196
0.3,5.803800,0.090684,1792.174334,2.609693,30.773786,1761.400548,58038,58226
0.4,5.804600,0.090697,2589.311443,2.616712,30.831547,2558.479895,58046,58233
0.5,5.809500,0.090773,3077.294122,2.605126,30.727051,3046.567071,58095,58277
0.6,5.806000,0.090719,3390.154409,2.610619,30.754082,3359.400327,58060,58244
0.7,5.802900,0.090670,3635.450654,2.609422,30.822296,3604.628358,58029,58214
0.8,5.792400,0.090506,3792.593502,2.617134,30.992732,3761.600770,57924,58112
0.9,5.799100,0.090611,3934.490990,2.611624,30.937921,3903.553069,57991,58180
1.0,5.786600,0.090416,4036.659023,2.612024,30.928231,4005.730792,57866,58052
